Link Title,Link Url
Show HN: I made a new sensor out of 3D printer filament for my PhD,https://paulbupejr.com/developing-the-optigap-sensor-system/
Stacking Triangles for Fun and Profit,https://www.oranlooney.com/post/angle-addition/
Why Is README Capitalized?,https://softwareengineering.stackexchange.com/questions/301691/readme-txt-vs-readme-txt
Apple alerts users in 92 nations to mercenary spyware attacks,https://techcrunch.com/2024/04/10/apple-warning-mercenary-spyware-attacks/
Roll-to-roll fabricated perovskite solar cells under ambient room conditions,https://www.nature.com/articles/s41467-024-46016-1
ESA Satellites to Test Razor-Sharp Formation Flying,https://spectrum.ieee.org/satellite-constellation-formation-flying-esa
Pompeii: Breathtaking new paintings found at ancient city,https://www.bbc.com/news/science-environment-68777741
Herman Goldstine and the IAS Machine: Unveiling the Modern Computer (2023),https://thechipletter.substack.com/p/unveiling-the-modern-computer
Transformers.js –  Run Transformers directly in the browser,https://github.com/xenova/transformers.js
Going in circles without a real-time clock,https://rachelbythebay.com/w/2024/04/10/rtc/
